"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","159,52","159,49","160,79","159,14","19,27M","0,24%"
"28.12.2023","159,14","159,98","160,38","158,22","24,87M","-0,45%"
"27.12.2023","159,86","161,20","161,40","159,81","23,73M","-0,71%"
"26.12.2023","161,00","161,45","161,80","160,77","18,59M","-0,06%"
"25.12.2023","161,09","162,49","162,77","160,40","22,40M","-0,62%"
"22.12.2023","162,09","161,91","163,20","161,62","15,42M","0,32%"
"21.12.2023","161,57","163,32","163,71","161,19","26,47M","-1,22%"
"20.12.2023","163,56","165,33","165,33","163,12","27,65M","-1,16%"
"19.12.2023","165,48","167,17","168,89","165,12","38,43M","-0,91%"
"18.12.2023","167,00","164,99","167,32","164,99","33,13M","1,71%"
"15.12.2023","164,20","161,05","164,42","161,02","23,93M","2,06%"
"14.12.2023","160,89","164,05","164,76","160,81","17,00M","-1,85%"
"13.12.2023","163,92","161,99","164,50","161,82","13,39M","0,90%"
"12.12.2023","162,46","164,87","165,54","161,82","25,41M","-1,46%"
"11.12.2023","164,87","161,47","167,14","160,19","53,06M","2,09%"
"08.12.2023","161,50","163,90","164,17","160,50","20,20M","-1,15%"
"07.12.2023","163,38","158,80","164,77","157,26","48,53M","2,92%"
"06.12.2023","158,74","160,73","161,41","158,50","15,55M","-1,07%"
"05.12.2023","160,46","160,17","161,44","159,10","15,03M","0,28%"
"04.12.2023","160,01","162,48","162,48","159,81","22,00M","-1,60%"
"01.12.2023","162,61","163,22","164,22","162,56","10,94M","-0,38%"
"30.11.2023","163,23","163,17","164,62","162,12","12,32M","0,04%"
"29.11.2023","163,17","164,00","165,63","162,71","17,32M","-0,63%"
"28.11.2023","164,21","162,91","164,83","161,55","16,82M","0,87%"
"27.11.2023","162,79","165,19","165,37","162,01","23,70M","-1,17%"
"24.11.2023","164,71","164,20","165,19","164,10","13,58M","0,37%"
"23.11.2023","164,11","165,37","165,69","164,02","10,82M","-0,76%"
"22.11.2023","165,37","165,30","166,20","164,82","11,54M","0,13%"
"21.11.2023","165,15","165,40","165,68","164,50","11,43M","-0,22%"
"20.11.2023","165,51","165,20","166,64","164,64","12,65M","0,12%"
"17.11.2023","165,31","165,40","165,74","163,48","24,19M","-0,10%"
"16.11.2023","165,48","166,26","166,81","165,20","12,95M","-0,59%"
"15.11.2023","166,46","165,80","167,00","165,52","12,83M","0,36%"
"14.11.2023","165,86","167,27","167,29","165,62","25,41M","-1,19%"
"13.11.2023","167,85","168,25","168,89","167,70","13,61M","-0,24%"
"10.11.2023","168,25","168,23","168,48","167,62","12,99M","0,05%"
"09.11.2023","168,16","168,50","169,63","167,58","21,02M","-0,20%"
"08.11.2023","168,49","168,80","169,44","168,47","15,41M","-0,02%"
"07.11.2023","168,53","169,10","169,98","167,20","21,85M","-0,56%"
"06.11.2023","169,48","169,05","170,29","168,83","9,34M","0,17%"
"03.11.2023","169,19","168,20","170,00","167,50","16,65M","0,60%"
"02.11.2023","168,18","170,44","171,31","168,00","26,48M","-1,12%"
"01.11.2023","170,08","167,88","170,23","167,83","21,11M","1,31%"
"31.10.2023","167,88","167,00","168,42","166,70","17,25M","0,43%"
"30.10.2023","167,16","167,26","168,44","166,35","16,44M","-0,06%"
"27.10.2023","167,26","168,36","169,45","167,17","21,57M","-0,71%"
"26.10.2023","168,45","169,99","170,47","168,40","21,08M","-0,69%"
"25.10.2023","169,62","170,20","170,50","169,00","18,13M","-0,33%"
"24.10.2023","170,19","170,40","171,24","169,76","16,18M","-0,12%"
"23.10.2023","170,39","171,80","172,44","169,90","19,95M","-0,58%"
"20.10.2023","171,39","170,38","172,15","169,12","25,37M","0,59%"
"19.10.2023","170,38","169,97","171,00","168,30","31,74M","0,12%"
"18.10.2023","170,18","172,67","172,68","168,70","31,94M","-1,04%"
"17.10.2023","171,97","172,75","173,30","171,03","26,76M","-0,34%"
"16.10.2023","172,55","170,50","172,91","170,50","41,59M","1,38%"
"13.10.2023","170,20","169,90","170,79","167,15","38,62M","0,41%"
"12.10.2023","169,50","167,90","169,80","167,40","31,85M","0,96%"
"11.10.2023","167,89","168,50","171,40","167,30","59,98M","-0,08%"
"10.10.2023","168,03","167,37","168,80","166,86","18,58M","0,58%"
"09.10.2023","167,06","167,30","167,97","166,62","21,75M","0,28%"
"06.10.2023","166,59","166,29","166,86","165,10","18,32M","0,32%"
"05.10.2023","166,06","165,70","166,10","164,84","15,31M","0,40%"
"04.10.2023","165,40","166,61","167,59","165,15","20,16M","-0,81%"
"03.10.2023","166,75","166,00","167,25","164,81","17,38M","0,40%"
"02.10.2023","166,08","167,83","168,86","165,51","24,39M","-0,60%"
"29.09.2023","167,09","169,20","170,39","166,60","35,99M","-1,47%"
"28.09.2023","169,58","165,93","169,77","165,31","28,83M","2,45%"
"27.09.2023","165,53","165,80","166,92","165,11","18,54M","0,10%"
"26.09.2023","165,36","165,83","165,85","163,51","26,74M","-0,31%"
"25.09.2023","165,87","166,70","168,05","165,20","24,33M","-0,50%"
"22.09.2023","166,70","166,12","167,00","165,10","22,55M","0,51%"
"21.09.2023","165,85","168,50","169,38","165,72","30,39M","-1,93%"
"20.09.2023","169,11","169,30","170,25","167,10","34,24M","0,11%"
"19.09.2023","168,93","172,99","173,94","168,60","43,23M","-2,24%"
"18.09.2023","172,80","174,48","174,66","172,05","20,55M","-0,57%"
"15.09.2023","173,79","173,50","174,76","173,25","18,93M","0,16%"
"14.09.2023","173,52","175,25","175,39","173,06","35,30M","-0,81%"
"13.09.2023","174,94","177,80","178,00","174,30","23,91M","-1,51%"
"12.09.2023","177,62","175,23","177,70","174,80","23,28M","1,71%"
"11.09.2023","174,64","176,02","177,44","174,02","26,94M","-0,74%"
"08.09.2023","175,95","177,94","178,17","175,51","30,58M","-0,95%"
"07.09.2023","177,64","180,95","181,68","176,50","51,51M","-1,83%"
"06.09.2023","180,96","183,19","184,00","180,63","45,65M","-0,83%"
"05.09.2023","182,48","181,20","182,80","179,00","57,33M","0,76%"
"04.09.2023","181,11","179,31","181,81","178,84","46,31M","1,62%"
"01.09.2023","178,22","178,00","178,85","177,60","17,22M","0,13%"
"31.08.2023","177,99","178,00","179,14","177,15","26,37M","0,29%"
"30.08.2023","177,47","178,90","178,90","176,77","37,48M","-0,68%"
"29.08.2023","178,69","176,39","181,37","175,50","100,35M","1,41%"
"28.08.2023","176,20","174,75","176,80","174,75","25,30M","0,86%"
"25.08.2023","174,70","175,05","175,35","174,11","16,90M","-0,15%"
"24.08.2023","174,97","174,05","175,92","173,62","16,66M","0,76%"
"23.08.2023","173,65","176,79","176,93","173,02","29,09M","-1,60%"
"22.08.2023","176,48","176,40","177,00","175,18","18,20M","0,07%"
"21.08.2023","176,36","176,23","177,70","175,76","27,05M","0,50%"
"18.08.2023","175,48","174,30","175,71","173,12","19,43M","0,77%"
"17.08.2023","174,14","174,71","174,95","172,80","25,82M","0,00%"
"16.08.2023","174,14","176,23","177,10","172,90","48,78M","-1,15%"
