"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","996,00","995,50","1.008,00","990,00","37,87K","0,00%"
"28.12.2023","996,00","1.054,50","1.064,50","980,00","135,26K","-4,69%"
"27.12.2023","1.045,00","1.045,00","1.080,00","1.027,00","133,16K","0,48%"
"26.12.2023","1.040,00","1.081,50","1.090,00","1.022,00","127,64K","-2,12%"
"25.12.2023","1.062,50","999,00","1.065,00","975,00","283,33K","7,81%"
"22.12.2023","985,50","978,00","1.011,00","966,50","93,06K","2,02%"
"21.12.2023","966,00","1.024,00","1.036,50","927,50","122,33K","-4,73%"
"20.12.2023","1.014,00","968,00","1.050,00","968,00","232,34K","5,13%"
"19.12.2023","964,50","901,50","1.039,00","882,00","512,43K","7,53%"
"18.12.2023","897,00","872,00","920,00","850,00","168,76K","7,04%"
"15.12.2023","838,00","817,50","847,50","805,50","42,56K","3,20%"
"14.12.2023","812,00","855,00","875,00","812,00","46,40K","-3,68%"
"13.12.2023","843,00","809,50","874,00","770,00","137,30K","3,88%"
"12.12.2023","811,50","828,00","842,00","800,00","30,78K","-1,99%"
"11.12.2023","828,00","867,00","867,00","800,00","52,07K","-2,76%"
"08.12.2023","851,50","868,50","880,00","841,00","35,28K","-1,90%"
"07.12.2023","868,00","871,00","906,00","831,00","99,40K","4,45%"
"06.12.2023","831,00","816,50","873,00","814,00","70,29K","2,59%"
"05.12.2023","810,00","835,50","849,50","800,00","83,07K","-2,70%"
"04.12.2023","832,50","898,00","909,00","824,00","67,48K","-7,24%"
"01.12.2023","897,50","911,50","932,50","890,00","44,60K","-1,37%"
"30.11.2023","910,00","934,00","940,00","900,00","54,97K","-2,67%"
"29.11.2023","935,00","978,00","978,00","932,50","60,43K","-4,45%"
"28.11.2023","978,50","910,00","990,00","885,00","213,58K","7,65%"
"27.11.2023","909,00","1.000,00","1.016,00","890,00","190,49K","-9,10%"
"24.11.2023","1.000,00","1.115,00","1.115,00","992,00","228,20K","-9,21%"
"23.11.2023","1.101,50","1.136,50","1.195,00","1.063,00","426,15K","0,23%"
"22.11.2023","1.099,00","1.001,00","1.099,00","990,00","315,41K","9,90%"
"21.11.2023","1.000,00","1.029,50","1.029,50","977,00","42,85K","-1,19%"
"20.11.2023","1.012,00","1.015,00","1.050,00","982,00","72,01K","0,70%"
"17.11.2023","1.005,00","1.057,50","1.062,50","958,50","218,72K","-5,90%"
"16.11.2023","1.068,00","894,50","1.075,00","890,00","684,59K","21,09%"
"15.11.2023","882,00","768,50","898,50","731,50","278,60K","14,55%"
"14.11.2023","770,00","890,00","893,00","726,50","242,65K","-13,73%"
"13.11.2023","892,50","1.040,00","1.065,00","870,00","313,24K","-12,67%"
"10.11.2023","1.022,00","1.107,50","1.115,00","1.011,50","158,84K","-8,34%"
"09.11.2023","1.115,00","1.153,50","1.154,00","1.104,00","74,57K","-2,96%"
"08.11.2023","1.149,00","1.115,00","1.175,00","1.089,00","178,58K","3,65%"
"07.11.2023","1.108,50","1.134,00","1.145,00","1.107,00","56,98K","-1,90%"
"06.11.2023","1.130,00","1.145,00","1.150,50","1.116,00","42,38K","-1,22%"
"03.11.2023","1.144,00","1.199,00","1.200,00","1.135,00","124,49K","-2,97%"
"02.11.2023","1.179,00","1.198,50","1.259,50","1.172,50","158,18K","-0,08%"
"01.11.2023","1.180,00","1.169,50","1.243,00","1.151,50","145,37K","1,29%"
"31.10.2023","1.165,00","1.215,00","1.238,50","1.160,00","92,11K","-4,15%"
"30.10.2023","1.215,50","1.242,00","1.256,00","1.210,00","79,12K","-1,98%"
"27.10.2023","1.240,00","1.275,00","1.285,00","1.212,00","120,02K","-3,13%"
"26.10.2023","1.280,00","1.328,50","1.333,50","1.259,00","91,82K","-3,65%"
"25.10.2023","1.328,50","1.330,00","1.347,50","1.320,00","55,40K","-0,04%"
"24.10.2023","1.329,00","1.354,50","1.356,50","1.319,00","57,39K","-1,48%"
"23.10.2023","1.349,00","1.327,50","1.390,00","1.305,50","134,07K","1,66%"
"20.10.2023","1.327,00","1.374,50","1.378,00","1.313,00","78,20K","-3,35%"
"19.10.2023","1.373,00","1.415,50","1.419,00","1.363,00","82,95K","-2,28%"
"18.10.2023","1.405,00","1.391,00","1.432,50","1.350,00","287,22K","4,19%"
"17.10.2023","1.348,50","1.380,00","1.429,00","1.330,50","89,33K","-2,14%"
"16.10.2023","1.378,00","1.325,00","1.437,00","1.309,00","265,45K","4,83%"
"13.10.2023","1.314,50","1.301,00","1.416,00","1.276,50","401,98K","1,08%"
"12.10.2023","1.300,50","1.350,00","1.373,50","1.274,00","192,02K","-6,64%"
"11.10.2023","1.393,00","1.462,00","1.482,00","1.385,50","125,09K","-3,86%"
"10.10.2023","1.449,00","1.499,00","1.499,00","1.442,50","65,29K","-2,42%"
"09.10.2023","1.485,00","1.525,00","1.550,00","1.480,00","96,13K","-1,62%"
"06.10.2023","1.509,50","1.558,50","1.587,00","1.490,00","114,52K","-2,61%"
"05.10.2023","1.550,00","1.647,00","1.690,00","1.543,00","187,06K","-5,89%"
"04.10.2023","1.647,00","1.510,00","1.708,50","1.483,00","461,43K","9,65%"
"03.10.2023","1.502,00","1.550,00","1.582,50","1.467,00","116,50K","-3,22%"
"02.10.2023","1.552,00","1.613,00","1.629,50","1.540,00","89,29K","-2,97%"
"29.09.2023","1.599,50","1.635,00","1.645,50","1.565,50","72,47K","-1,51%"
"28.09.2023","1.624,00","1.680,00","1.710,00","1.591,50","135,34K","-2,81%"
"27.09.2023","1.671,00","1.718,50","1.725,00","1.632,00","197,70K","-1,15%"
"26.09.2023","1.690,50","1.720,00","1.753,00","1.674,50","40,01K","-1,72%"
"25.09.2023","1.720,00","1.745,00","1.798,00","1.665,50","57,06K","1,09%"
"22.09.2023","1.701,50","1.646,00","1.798,50","1.563,00","123,26K","3,09%"
"21.09.2023","1.650,50","1.840,00","1.840,00","1.643,00","81,35K","-10,37%"
"20.09.2023","1.841,50","1.974,50","1.974,50","1.651,00","172,21K","-6,74%"
"19.09.2023","1.974,50","2.102,50","2.145,50","1.950,00","76,07K","-6,07%"
"18.09.2023","2.102,00","2.051,00","2.212,50","1.967,50","239,58K","3,37%"
"15.09.2023","2.033,50","1.850,00","2.046,50","1.707,00","181,76K","8,77%"
"14.09.2023","1.869,50","2.120,00","2.120,00","1.471,50","309,46K","-11,38%"
"13.09.2023","2.109,50","2.139,00","2.234,00","2.100,00","85,61K","-1,22%"
"12.09.2023","2.135,50","2.020,50","2.185,50","2.020,50","163,46K","4,43%"
"11.09.2023","2.045,00","2.048,50","2.150,00","1.980,00","96,23K","0,69%"
"08.09.2023","2.031,00","2.063,00","2.137,50","1.970,00","105,19K","-3,79%"
"07.09.2023","2.111,00","2.270,00","2.344,00","2.000,50","179,65K","-3,61%"
"06.09.2023","2.190,00","2.165,00","2.341,50","2.050,00","251,99K","1,15%"
"05.09.2023","2.165,00","2.125,00","2.294,00","2.125,00","219,74K","-5,46%"
"04.09.2023","2.290,00","2.059,00","2.668,00","2.055,00","1,87M","17,44%"
"01.09.2023","1.950,00","1.509,00","2.000,00","1.442,50","1,36M","29,27%"
"31.08.2023","1.508,50","1.530,00","1.553,00","1.491,00","53,20K","-1,24%"
"30.08.2023","1.527,50","1.567,00","1.583,50","1.512,50","89,13K","-0,68%"
"29.08.2023","1.538,00","1.490,50","1.617,00","1.410,00","387,05K","4,55%"
"28.08.2023","1.471,00","1.475,00","1.520,00","1.435,50","158,79K","2,72%"
"25.08.2023","1.432,00","1.403,50","1.481,00","1.377,00","246,30K","2,95%"
"24.08.2023","1.391,00","1.384,00","1.419,00","1.338,00","61,92K","0,43%"
"23.08.2023","1.385,00","1.400,00","1.429,00","1.351,50","82,86K","-0,50%"
"22.08.2023","1.392,00","1.411,00","1.435,00","1.324,50","66,10K","-0,43%"
"21.08.2023","1.398,00","1.360,00","1.445,00","1.354,00","196,20K","4,17%"
"18.08.2023","1.342,00","1.439,50","1.441,50","1.313,50","124,89K","-4,86%"
"17.08.2023","1.410,50","1.290,00","1.600,00","1.270,50","1,64M","12,26%"
"16.08.2023","1.256,50","1.323,50","1.364,00","1.171,50","169,73K","-3,83%"
"15.08.2023","1.306,50","1.280,00","1.344,50","1.226,00","86,78K","-0,15%"
"14.08.2023","1.308,50","1.300,00","1.378,50","1.268,00","243,04K","3,23%"
"11.08.2023","1.267,50","1.256,50","1.281,00","1.246,50","38,13K","1,04%"
"10.08.2023","1.254,50","1.283,00","1.283,00","1.230,00","42,98K","-0,67%"
"09.08.2023","1.263,00","1.240,00","1.300,00","1.238,50","50,86K","2,18%"
"08.08.2023","1.236,00","1.295,00","1.320,00","1.200,00","60,12K","-4,56%"
"07.08.2023","1.295,00","1.252,00","1.308,00","1.252,00","57,57K","3,43%"
"04.08.2023","1.252,00","1.309,00","1.323,50","1.145,00","77,34K","-3,99%"
"03.08.2023","1.304,00","1.334,50","1.344,00","1.284,50","78,16K","-2,07%"
"02.08.2023","1.331,50","1.266,50","1.418,50","1.225,00","596,29K","10,50%"
"01.08.2023","1.205,00","1.143,50","1.225,00","1.141,00","151,44K","4,83%"
"31.07.2023","1.149,50","1.168,00","1.169,00","1.140,00","43,64K","-1,20%"
"28.07.2023","1.163,50","1.186,00","1.186,00","1.145,00","40,61K","-1,73%"
"27.07.2023","1.184,00","1.206,50","1.208,50","1.180,00","41,34K","-1,54%"
"26.07.2023","1.202,50","1.239,00","1.239,00","1.191,00","41,12K","-1,92%"
"25.07.2023","1.226,00","1.230,50","1.244,50","1.201,00","90,75K","-0,04%"
"24.07.2023","1.226,50","1.259,00","1.268,00","1.188,50","64,45K","-0,89%"
"21.07.2023","1.237,50","1.290,00","1.295,00","1.164,00","108,15K","-2,94%"
"20.07.2023","1.275,00","1.250,00","1.295,00","1.201,00","352,87K","6,61%"
"19.07.2023","1.196,00","1.422,00","1.489,00","1.160,50","580,00K","-15,24%"
"18.07.2023","1.411,00","1.142,00","1.500,00","1.130,00","1,99M","27,87%"
"17.07.2023","1.103,50","774,50","1.103,50","772,00","2,23M","43,31%"
"14.07.2023","770,00","790,00","806,50","758,50","116,23K","-1,91%"
"13.07.2023","785,00","758,50","803,50","757,00","203,27K","3,97%"
"12.07.2023","755,00","703,50","775,50","703,50","192,13K","6,19%"
"11.07.2023","711,00","705,00","726,50","687,00","61,14K","-0,21%"
"10.07.2023","712,50","679,00","737,00","679,00","176,23K","5,79%"
"07.07.2023","673,50","681,50","696,00","662,50","36,45K","-1,39%"
"06.07.2023","683,00","705,50","722,00","681,00","41,77K","-4,87%"
"05.07.2023","718,00","711,50","734,00","703,00","55,85K","1,27%"
"04.07.2023","709,00","731,50","740,00","690,00","116,38K","-2,81%"
"03.07.2023","729,50","709,50","752,00","709,50","196,71K","3,18%"
"30.06.2023","707,00","699,50","756,00","686,50","408,95K","0,86%"
"29.06.2023","701,00","644,00","707,50","638,00","335,95K","8,94%"
"28.06.2023","643,50","650,50","668,50","641,00","48,64K","-0,92%"
"27.06.2023","649,50","684,00","684,00","638,00","69,20K","-1,81%"
"26.06.2023","661,50","675,00","698,00","630,50","98,04K","-2,29%"
"23.06.2023","677,00","720,00","744,00","670,00","436,73K","-11,15%"
"22.06.2023","762,00","642,00","806,50","597,50","1,70M","30,48%"
"21.06.2023","584,00","427,50","584,00","420,50","1,28M","39,71%"
"20.06.2023","418,00","407,00","431,50","407,00","57,88K","2,96%"
"19.06.2023","406,00","413,50","413,50","400,50","8,51K","-0,98%"
"16.06.2023","410,00","410,00","414,00","408,00","3,40K","0,00%"
"15.06.2023","410,00","412,50","415,00","408,50","5,24K","-0,24%"
"14.06.2023","411,00","410,00","412,50","408,00","6,60K","0,74%"
"13.06.2023","408,00","413,00","413,00","400,00","14,54K","0,87%"
"09.06.2023","404,50","399,00","417,50","395,00","30,79K","1,38%"
"08.06.2023","399,00","397,00","400,00","393,00","5,52K","0,63%"
"07.06.2023","396,50","400,00","410,00","393,50","9,82K","-0,38%"
"06.06.2023","398,00","394,50","400,00","391,00","8,87K","1,02%"
"05.06.2023","394,00","401,00","401,00","392,00","9,69K","-0,63%"
"02.06.2023","396,50","392,00","400,00","390,00","15,06K","1,67%"
"01.06.2023","390,00","395,00","397,50","390,00","4,43K","-1,27%"
"31.05.2023","395,00","391,00","402,00","390,50","18,30K","1,41%"
"30.05.2023","389,50","387,00","413,00","382,50","69,04K","-0,76%"
"29.05.2023","392,50","389,50","402,00","386,50","7,20K","1,42%"
"26.05.2023","387,00","382,00","399,00","372,00","33,15K","1,44%"
"25.05.2023","381,50","376,50","392,00","374,00","8,43K","1,19%"
"24.05.2023","377,00","383,00","385,50","373,00","6,19K","-1,44%"
"23.05.2023","382,50","382,50","387,00","380,50","4,90K","-0,65%"
"22.05.2023","385,00","392,00","393,50","380,00","5,24K","-1,03%"
"19.05.2023","389,00","388,50","392,00","383,00","3,79K","-0,77%"
"18.05.2023","392,00","397,00","401,00","387,00","9,56K","-0,76%"
"17.05.2023","395,00","389,50","397,00","380,50","22,20K","3,95%"
"16.05.2023","380,00","375,00","390,00","374,50","7,61K","0,93%"
"15.05.2023","376,50","377,00","381,00","373,50","7,94K","0,13%"
"12.05.2023","376,00","384,00","386,50","372,00","6,85K","-1,96%"
"11.05.2023","383,50","386,00","390,00","380,00","20,87K","1,72%"
"10.05.2023","377,00","372,00","380,00","372,00","10,39K","0,94%"
"08.05.2023","373,50","381,50","381,50","372,00","1,62K","0,54%"
"05.05.2023","371,50","374,00","379,00","368,00","5,82K","-0,80%"
"04.05.2023","374,50","372,50","382,50","365,00","7,40K","0,27%"
"03.05.2023","373,50","372,50","384,00","367,00","11,93K","0,27%"
"02.05.2023","372,50","391,50","391,50","365,50","26,18K","-4,85%"
"28.04.2023","391,50","398,00","402,50","385,00","8,73K","-1,39%"
"27.04.2023","397,00","398,50","405,50","395,50","9,18K","-0,25%"
"26.04.2023","398,00","398,00","402,00","389,00","9,55K","0,25%"
"25.04.2023","397,00","401,00","403,00","385,00","11,52K","-0,25%"
"24.04.2023","398,00","398,50","400,50","394,50","4,91K","1,02%"
"21.04.2023","394,00","399,50","404,50","394,00","8,38K","-0,63%"
"20.04.2023","396,50","404,50","404,50","393,00","16,81K","-1,37%"
"19.04.2023","402,00","407,00","410,00","395,00","14,70K","-1,23%"
"18.04.2023","407,00","409,00","413,00","405,00","11,73K","-0,25%"
"17.04.2023","408,00","411,00","413,50","405,00","21,60K","0,12%"
"14.04.2023","407,50","410,00","414,00","406,00","7,90K","-0,61%"
"13.04.2023","410,00","420,00","421,00","402,00","26,69K","-1,32%"
"12.04.2023","415,50","401,00","439,00","397,50","357,08K","4,27%"
"11.04.2023","398,50","406,50","419,00","396,00","76,36K","-0,75%"
"10.04.2023","401,50","399,00","422,00","396,50","76,09K","2,42%"
"07.04.2023","392,00","394,00","408,00","388,00","46,80K","0,00%"
"06.04.2023","392,00","395,00","398,00","389,50","14,82K","-0,25%"
"05.04.2023","393,00","393,50","393,50","383,00","17,20K","1,03%"
"04.04.2023","389,00","392,00","404,00","382,00","30,11K","-0,51%"
"03.04.2023","391,00","388,50","397,00","383,50","18,04K","1,56%"
"31.03.2023","385,00","392,00","409,50","378,50","140,32K","0,26%"
"30.03.2023","384,00","389,50","392,00","383,00","15,34K","0,13%"
"29.03.2023","383,50","387,50","391,50","382,50","7,01K","-0,78%"
"28.03.2023","386,50","391,00","392,00","379,00","16,53K","-0,90%"
"27.03.2023","390,00","384,50","396,00","379,00","37,53K","2,50%"
"24.03.2023","380,50","378,50","391,00","373,50","43,50K","0,53%"
"23.03.2023","378,50","377,00","381,00","374,50","16,43K","0,66%"
"22.03.2023","376,00","377,00","377,00","369,50","13,34K","0,00%"
"21.03.2023","376,00","377,00","387,50","372,50","36,83K","-0,13%"
"20.03.2023","376,50","377,50","378,50","370,50","20,99K","0,27%"
"17.03.2023","375,50","371,50","378,00","371,50","15,39K","-0,53%"
"16.03.2023","377,50","379,50","394,00","373,00","54,98K","-0,13%"
"15.03.2023","378,00","384,00","385,00","376,50","22,83K","-1,43%"
"14.03.2023","383,50","380,00","402,00","375,00","290,94K","2,40%"
"13.03.2023","374,50","373,50","382,50","365,50","64,21K","0,67%"
"10.03.2023","372,00","374,00","387,00","367,00","80,51K","0,00%"
"09.03.2023","372,00","370,50","388,00","367,50","71,94K","0,13%"
"07.03.2023","371,50","368,50","374,50","363,50","18,98K","0,41%"
"06.03.2023","370,00","383,00","383,00","361,00","66,80K","0,14%"
"03.03.2023","369,50","396,50","419,00","364,00","582,02K","-6,46%"
"02.03.2023","395,00","320,00","442,50","319,50","2,71M","23,82%"
"01.03.2023","319,00","316,50","324,50","316,50","4,96K","-0,31%"
"28.02.2023","320,00","317,50","328,50","311,50","11,66K","0,95%"
"27.02.2023","317,00","314,50","317,50","311,50","4,43K","0,96%"
"24.02.2023","314,00","309,50","316,00","309,50","2,86K","1,62%"
"22.02.2023","309,00","311,50","311,50","309,00","2,05K","-0,80%"
"21.02.2023","311,50","310,00","315,50","303,00","9,68K","0,48%"
"20.02.2023","310,00","310,00","312,50","300,00","13,33K","-0,48%"
"17.02.2023","311,50","310,00","316,50","308,50","4,20K","0,65%"
"16.02.2023","309,50","313,00","313,00","306,00","5,44K","0,49%"
"15.02.2023","308,00","319,00","324,50","305,00","19,60K","-4,79%"
"14.02.2023","323,50","326,50","345,00","317,50","30,24K","-0,77%"
"13.02.2023","326,00","323,50","331,00","322,50","8,12K","0,62%"
"10.02.2023","324,00","325,00","333,00","321,00","10,71K","-1,37%"
"09.02.2023","328,50","327,00","336,50","320,50","11,22K","0,61%"
"08.02.2023","326,50","331,50","350,00","320,00","85,59K","-0,15%"
"07.02.2023","327,00","330,00","331,50","322,50","12,98K","0,31%"
"06.02.2023","326,00","319,50","333,00","319,00","34,62K","2,68%"
"03.02.2023","317,50","319,50","319,50","312,50","4,68K","-0,31%"
"02.02.2023","318,50","319,00","319,00","316,00","4,55K","1,11%"
"01.02.2023","315,00","320,00","323,00","314,00","15,41K","-2,48%"
"31.01.2023","323,00","327,00","330,50","318,50","17,96K","-1,37%"
"30.01.2023","327,50","313,00","339,00","309,50","205,72K","5,31%"
"27.01.2023","311,00","311,50","315,00","308,00","5,96K","0,16%"
"26.01.2023","310,50","313,00","315,00","305,00","7,99K","-0,48%"
"25.01.2023","312,00","310,00","313,50","305,50","5,63K","0,65%"
"24.01.2023","310,00","312,00","315,50","306,50","8,12K","-0,80%"
"23.01.2023","312,50","309,50","322,00","307,00","10,31K","1,30%"
"20.01.2023","308,50","310,00","322,50","288,00","17,39K","-0,48%"
"19.01.2023","310,00","313,50","313,50","308,50","4,89K","-1,12%"
"18.01.2023","313,50","313,50","314,00","310,00","8,65K","0,32%"
"17.01.2023","312,50","311,50","344,50","306,50","69,92K","1,46%"
"16.01.2023","308,00","307,50","314,50","305,00","7,76K","0,82%"
"13.01.2023","305,50","311,00","311,00","305,50","2,16K","-1,61%"
"12.01.2023","310,50","311,00","316,00","305,50","6,69K","0,16%"
"11.01.2023","310,00","309,00","332,50","302,00","57,65K","0,65%"
"10.01.2023","308,00","303,00","344,00","295,00","161,37K","4,23%"
"09.01.2023","295,50","298,00","305,00","292,00","16,34K","1,37%"
"06.01.2023","291,50","293,00","294,00","290,00","1,71K","-0,68%"
"05.01.2023","293,50","294,00","294,50","292,50","1,16K","0,17%"
"04.01.2023","293,00","295,00","296,50","290,50","1,34K","-0,17%"
"03.01.2023","293,50","289,50","297,00","289,50","2,95K","1,73%"
"30.12.2022","288,50","290,50","292,50","288,50","3,46K","-0,52%"
"29.12.2022","290,00","289,50","291,50","288,50","2,60K","0,35%"
"28.12.2022","289,00","291,50","293,00","288,50","2,86K","-0,69%"
"27.12.2022","291,00","289,50","300,00","286,50","9,68K","1,75%"
"26.12.2022","286,00","291,50","295,50","285,50","5,98K","-1,55%"
"23.12.2022","290,50","298,00","306,00","282,00","15,67K","-1,53%"
"22.12.2022","295,00","282,00","324,50","281,50","117,06K","4,80%"
"21.12.2022","281,50","278,00","286,00","277,00","3,06K","1,44%"
"20.12.2022","277,50","280,00","285,50","275,50","3,45K","-0,18%"
"19.12.2022","278,00","275,00","286,00","274,50","3,42K","0,91%"
"16.12.2022","275,50","280,50","283,50","275,00","5,24K","-2,65%"
"15.12.2022","283,00","285,00","286,00","277,50","3,45K","-0,70%"
"14.12.2022","285,00","290,00","291,00","282,50","2,34K","-1,89%"
"13.12.2022","290,50","290,00","296,00","289,00","2,35K","-0,68%"
"12.12.2022","292,50","290,00","292,50","287,00","1,04K","0,86%"
"09.12.2022","290,00","290,00","292,00","287,00","1,06K","0,17%"
"08.12.2022","289,50","294,00","296,00","287,00","4,16K","-1,70%"
"07.12.2022","294,50","296,00","297,00","292,00","0,87K","-0,51%"
"06.12.2022","296,00","294,50","297,50","294,50","1,15K","0,17%"
"05.12.2022","295,50","294,00","298,00","294,00","1,65K","-0,51%"
"02.12.2022","297,00","297,50","298,00","295,00","1,51K","-0,17%"
"01.12.2022","297,50","299,50","300,00","297,00","1,70K","-0,50%"
"30.11.2022","299,00","302,50","302,50","293,50","1,81K","-0,50%"
"29.11.2022","300,50","298,00","304,00","297,00","1,19K","0,17%"
"28.11.2022","300,00","298,00","306,50","297,00","2,42K","1,18%"
"25.11.2022","296,50","296,50","298,50","294,00","1,64K","-0,50%"
"24.11.2022","298,00","298,00","299,00","295,50","1,42K","0,17%"
"23.11.2022","297,50","298,50","301,00","290,00","7,70K","-0,83%"
"22.11.2022","300,00","298,50","310,00","293,00","3,72K","0,00%"
"21.11.2022","300,00","304,00","304,00","296,00","3,58K","-0,99%"
"18.11.2022","303,00","313,00","315,00","301,50","6,52K","-1,14%"
"17.11.2022","306,50","298,00","315,00","297,00","16,40K","3,55%"
"16.11.2022","296,00","292,00","299,50","277,00","2,41K","0,00%"
"15.11.2022","296,00","295,00","297,00","291,00","1,41K","-0,34%"
"14.11.2022","297,00","296,00","298,50","293,00","1,40K","0,34%"
"11.11.2022","296,00","300,50","305,00","291,00","3,16K","-1,17%"
"10.11.2022","299,50","297,50","300,00","294,00","2,05K","0,34%"
"09.11.2022","298,50","300,00","300,00","295,00","1,38K","-0,33%"
"08.11.2022","299,50","300,50","300,50","296,50","1,63K","0,34%"
"07.11.2022","298,50","298,00","300,50","296,00","3,33K","-0,33%"
"03.11.2022","299,50","301,00","301,00","294,00","2,30K","-0,33%"
"02.11.2022","300,50","301,00","308,00","295,50","3,09K","-0,17%"
"01.11.2022","301,00","299,00","310,00","295,00","7,30K","1,18%"
"31.10.2022","297,50","290,00","302,50","289,00","8,71K","3,48%"
"28.10.2022","287,50","285,50","289,00","282,50","2,00K","0,35%"
"27.10.2022","286,50","284,00","290,00","284,00","2,90K","0,88%"
"26.10.2022","284,00","285,50","287,00","280,00","2,04K","-0,18%"
"25.10.2022","284,50","283,50","288,50","277,00","4,11K","0,89%"
"24.10.2022","282,00","274,50","285,00","274,50","2,09K","1,99%"
"21.10.2022","276,50","278,00","280,00","274,00","1,26K","0,18%"
"20.10.2022","276,00","274,50","278,00","273,00","1,27K","0,55%"
"19.10.2022","274,50","276,50","290,00","270,00","10,79K","-0,90%"
"18.10.2022","277,00","276,50","284,00","271,50","3,63K","1,28%"
"17.10.2022","273,50","270,00","276,50","270,00","2,80K","0,18%"
"14.10.2022","273,00","275,50","276,00","270,50","1,85K","-0,55%"
"13.10.2022","274,50","279,00","279,00","272,00","1,14K","0,00%"
"12.10.2022","274,50","272,00","278,00","271,00","1,75K","1,67%"
"11.10.2022","270,00","260,50","279,00","258,50","5,09K","4,25%"
"10.10.2022","259,00","261,50","265,00","249,50","9,50K","-2,45%"
"07.10.2022","265,50","269,50","269,50","264,00","0,95K","-1,30%"
"06.10.2022","269,00","269,00","280,00","265,00","1,80K","-0,92%"
"05.10.2022","271,50","272,50","274,50","264,00","1,31K","0,00%"
"04.10.2022","271,50","263,00","278,50","263,00","1,57K","0,00%"
"03.10.2022","271,50","253,50","279,50","253,50","1,71K","3,43%"
"30.09.2022","262,50","262,00","274,00","256,50","2,62K","0,19%"
"29.09.2022","262,00","289,50","290,00","254,50","5,79K","-6,76%"
"28.09.2022","281,00","281,00","290,50","265,50","6,43K","8,70%"
"27.09.2022","258,50","259,50","267,00","248,50","3,94K","3,40%"
"26.09.2022","250,00","271,00","275,50","250,00","7,56K","-10,55%"
"23.09.2022","279,50","293,00","294,50","276,00","2,88K","-3,62%"
"22.09.2022","290,00","302,00","304,00","285,00","3,10K","-2,36%"
"21.09.2022","297,00","292,50","299,00","253,00","10,17K","-2,94%"
"20.09.2022","306,00","314,50","319,50","299,50","8,84K","-3,47%"
"19.09.2022","317,00","315,00","321,00","315,00","5,18K","-0,31%"
"16.09.2022","318,00","315,50","318,00","314,00","0,86K","0,95%"
"15.09.2022","315,00","317,00","318,00","314,00","1,18K","-0,63%"
"14.09.2022","317,00","319,00","319,00","316,00","2,24K","-0,16%"
"13.09.2022","317,50","317,00","318,50","316,00","1,56K","0,00%"
"12.09.2022","317,50","318,00","318,50","315,50","2,17K","-0,16%"
"09.09.2022","318,00","316,00","318,50","315,00","3,37K","0,63%"
"08.09.2022","316,00","321,00","321,00","316,00","4,41K","-0,78%"
"07.09.2022","318,50","324,00","324,00","310,50","4,23K","-0,16%"
"06.09.2022","319,00","324,50","326,50","315,00","6,01K","0,00%"
"05.09.2022","319,00","318,50","320,50","314,50","3,04K","0,63%"
"02.09.2022","317,00","327,50","327,50","312,00","8,33K","0,48%"
"01.09.2022","315,50","312,50","317,00","312,00","1,74K","1,28%"
"31.08.2022","311,50","317,50","320,00","305,00","7,67K","-2,04%"
"30.08.2022","318,00","319,00","321,00","317,00","3,81K","-0,31%"
"29.08.2022","319,00","317,00","329,00","316,50","4,68K","0,16%"
"26.08.2022","318,50","324,50","324,50","317,00","4,38K","-0,62%"
"25.08.2022","320,50","321,50","324,00","316,00","5,86K","1,26%"
"24.08.2022","316,50","310,50","326,50","308,00","13,48K","2,43%"
"23.08.2022","309,00","310,50","311,50","303,00","2,19K","0,00%"
"22.08.2022","309,00","308,50","314,00","307,00","3,53K","0,98%"
"19.08.2022","306,00","311,50","311,50","305,00","1,63K","-1,61%"
"18.08.2022","311,00","309,50","312,00","307,50","2,96K","0,65%"
"17.08.2022","309,00","305,50","309,00","303,00","2,33K","1,98%"
"16.08.2022","303,00","300,50","310,00","300,50","4,12K","0,33%"
"15.08.2022","302,00","301,00","302,50","295,50","2,79K","1,34%"
"12.08.2022","298,00","296,50","299,50","294,00","4,00K","0,17%"
"11.08.2022","297,50","298,50","303,50","294,00","5,63K","0,00%"
"10.08.2022","297,50","302,00","302,00","290,00","12,63K","-0,83%"
"09.08.2022","300,00","300,00","307,50","293,50","2,27K","0,00%"
"08.08.2022","300,00","297,50","300,00","290,50","3,41K","1,87%"
"05.08.2022","294,50","301,00","301,00","293,00","2,88K","-1,83%"
"04.08.2022","300,00","301,00","305,00","299,00","1,70K","-0,50%"
"03.08.2022","301,50","301,00","303,00","300,00","2,04K","0,17%"
"02.08.2022","301,00","304,50","306,50","298,50","4,89K","-0,66%"
"01.08.2022","303,00","308,00","308,00","301,00","4,09K","-1,14%"
"29.07.2022","306,50","307,50","310,00","306,00","1,88K","-0,33%"
"28.07.2022","307,50","309,50","309,50","301,50","1,12K","-0,16%"
"27.07.2022","308,00","309,00","312,50","300,00","3,10K","-0,32%"
"26.07.2022","309,00","312,00","314,50","307,50","3,83K","-0,96%"
"25.07.2022","312,00","310,00","317,50","306,00","2,64K","1,63%"
"22.07.2022","307,00","310,00","310,00","306,00","2,51K","0,33%"
"21.07.2022","306,00","306,50","312,50","300,00","3,30K","-0,16%"
"20.07.2022","306,50","300,50","309,00","299,00","2,50K","1,66%"
