"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"04.09.2023","1,0257","0,9957","1,0344","0,9776","1,95B","3,83%"
"01.09.2023","0,9879","0,9985","1,0037","0,9700","1,42B","-0,38%"
"31.08.2023","0,9917","0,9446","0,9966","0,9292","2,43B","5,54%"
"30.08.2023","0,9396","0,9180","0,9400","0,9000","722,99M","2,68%"
"29.08.2023","0,9151","0,9258","0,9465","0,9059","835,12M","-1,16%"
"28.08.2023","0,9258","0,8912","0,9261","0,8912","289,54M","3,66%"
"25.08.2023","0,8931","0,8901","0,8984","0,8877","162,16M","0,34%"
"24.08.2023","0,8901","0,8848","0,8989","0,8800","161,13M","1,34%"
"23.08.2023","0,8783","0,9049","0,9049","0,8750","213,67M","-2,44%"
"22.08.2023","0,9003","0,9040","0,9074","0,8902","184,53M","-0,38%"
"21.08.2023","0,9037","0,9000","0,9131","0,8929","310,79M","1,29%"
"18.08.2023","0,8922","0,8871","0,8944","0,8800","204,00M","0,57%"
"17.08.2023","0,8871","0,8870","0,8944","0,8690","231,60M","0,32%"
"16.08.2023","0,8843","0,8834","0,9196","0,8604","816,69M","0,49%"
"15.08.2023","0,8800","0,9021","0,9179","0,8750","574,50M","-3,05%"
"14.08.2023","0,9077","0,9348","0,9597","0,9020","1,32B","-1,17%"
"11.08.2023","0,9184","0,9009","0,9200","0,8900","501,08M","1,94%"
"10.08.2023","0,9009","0,8951","0,9137","0,8884","345,81M","0,81%"
"09.08.2023","0,8937","0,8880","0,9128","0,8850","458,86M","1,13%"
"08.08.2023","0,8837","0,8910","0,8921","0,8611","418,91M","-0,75%"
"07.08.2023","0,8904","0,9163","0,9391","0,8871","603,61M","-2,14%"
"04.08.2023","0,9099","0,9603","0,9738","0,8948","1,43B","-4,70%"
"03.08.2023","0,9548","0,8560","0,9691","0,8441","3,10B","11,79%"
"02.08.2023","0,8541","0,8612","0,8625","0,8502","217,02M","-0,80%"
"01.08.2023","0,8610","0,8706","0,8782","0,8519","376,39M","-1,01%"
"31.07.2023","0,8698","0,8411","0,8700","0,8390","465,18M","3,65%"
"28.07.2023","0,8392","0,8440","0,8459","0,8371","100,49M","-0,37%"
"27.07.2023","0,8423","0,8413","0,8495","0,8393","145,84M","0,12%"
"26.07.2023","0,8413","0,8440","0,8443","0,8333","97,62M","-0,15%"
"25.07.2023","0,8426","0,8470","0,8480","0,8382","201,47M","-0,48%"
"24.07.2023","0,8467","0,8430","0,8554","0,8415","250,32M","0,82%"
"21.07.2023","0,8398","0,8260","0,8430","0,8260","63,96M","1,31%"
"20.07.2023","0,8289","0,8480","0,8483","0,8251","138,70M","-2,23%"
"19.07.2023","0,8478","0,8490","0,8497","0,8400","117,43M","0,49%"
"18.07.2023","0,8437","0,8330","0,8461","0,8318","167,61M","1,28%"
"17.07.2023","0,8330","0,8260","0,8361","0,8252","108,26M","0,53%"
"14.07.2023","0,8286","0,8290","0,8308","0,8251","53,60M","0,11%"
"13.07.2023","0,8277","0,8290","0,8318","0,8260","76,96M","-0,16%"
"12.07.2023","0,8290","0,8267","0,8298","0,8250","92,84M","-0,04%"
"11.07.2023","0,8293","0,8349","0,8416","0,8240","134,32M","-0,53%"
"10.07.2023","0,8337","0,8090","0,8345","0,8025","340,26M","-0,87%"
"07.07.2023","0,8410","0,8311","0,8423","0,8282","260,90M","0,12%"
"06.07.2023","0,8400","0,8470","0,8512","0,8372","141,27M","-1,07%"
"05.07.2023","0,8491","0,8508","0,8510","0,8429","98,27M","-0,20%"
"04.07.2023","0,8508","0,8526","0,8581","0,8441","108,18M","-0,64%"
"03.07.2023","0,8563","0,8661","0,8667","0,8539","116,66M","-0,80%"
"30.06.2023","0,8632","0,8585","0,8698","0,8573","184,71M","0,58%"
"29.06.2023","0,8582","0,8613","0,8614","0,8513","71,87M","-0,01%"
"28.06.2023","0,8583","0,8526","0,8637","0,8492","85,42M","0,73%"
"27.06.2023","0,8521","0,8422","0,8535","0,8380","64,43M","1,18%"
"26.06.2023","0,8422","0,8350","0,8481","0,8340","117,29M","1,46%"
"23.06.2023","0,8301","0,8550","0,8580","0,8282","202,03M","-3,17%"
"22.06.2023","0,8573","0,8618","0,8631","0,8505","68,02M","-0,52%"
"21.06.2023","0,8618","0,8606","0,8644","0,8568","67,61M","0,14%"
"20.06.2023","0,8606","0,8623","0,8650","0,8568","114,02M","-0,43%"
"19.06.2023","0,8643","0,8749","0,8790","0,8568","219,34M","-1,04%"
"16.06.2023","0,8734","0,8751","0,8765","0,8697","43,57M","-0,19%"
"15.06.2023","0,8751","0,8740","0,8802","0,8643","151,11M","0,46%"
"14.06.2023","0,8711","0,8768","0,8815","0,8585","139,30M","-0,43%"
"13.06.2023","0,8749","0,8721","0,8789","0,8721","78,90M","0,38%"
"09.06.2023","0,8716","0,8780","0,8806","0,8655","72,55M","-1,03%"
"08.06.2023","0,8807","0,8909","0,9000","0,8721","233,86M","-1,02%"
"07.06.2023","0,8898","0,8740","0,8928","0,8722","218,64M","2,54%"
"06.06.2023","0,8678","0,8539","0,8717","0,8477","95,56M","1,01%"
"05.06.2023","0,8591","0,8883","0,8940","0,8552","217,57M","-2,32%"
"02.06.2023","0,8795","0,8482","0,8879","0,8370","545,95M","3,47%"
"01.06.2023","0,8500","0,8473","0,8550","0,8455","78,18M","0,21%"
"31.05.2023","0,8482","0,8550","0,8550","0,8447","128,83M","-0,29%"
"30.05.2023","0,8507","0,8559","0,8662","0,8452","298,82M","-0,89%"
"29.05.2023","0,8583","0,8363","0,8600","0,8331","226,62M","3,06%"
"26.05.2023","0,8328","0,8179","0,8353","0,8179","75,70M","1,82%"
"25.05.2023","0,8179","0,8168","0,8240","0,8124","41,89M","0,15%"
"24.05.2023","0,8167","0,8268","0,8268","0,8113","54,50M","-1,01%"
"23.05.2023","0,8250","0,8243","0,8300","0,8118","57,59M","0,56%"
"22.05.2023","0,8204","0,8300","0,8331","0,8149","56,77M","-1,12%"
"19.05.2023","0,8297","0,8356","0,8386","0,8220","84,21M","-0,77%"
"18.05.2023","0,8361","0,8320","0,8395","0,8318","59,52M","0,40%"
"17.05.2023","0,8328","0,8350","0,8383","0,8272","74,72M","-0,17%"
"16.05.2023","0,8342","0,8160","0,8390","0,8125","141,26M","2,19%"
"15.05.2023","0,8163","0,8021","0,8164","0,8000","73,66M","2,06%"
"12.05.2023","0,7998","0,8098","0,8098","0,7951","63,96M","-0,26%"
"11.05.2023","0,8019","0,8097","0,8300","0,7939","130,67M","-0,78%"
"10.05.2023","0,8082","0,7945","0,8099","0,7933","45,13M","1,60%"
"08.05.2023","0,7955","0,7955","0,7988","0,7890","19,64M","-0,04%"
"05.05.2023","0,7958","0,7986","0,7986","0,7926","25,28M","-0,06%"
"04.05.2023","0,7963","0,7999","0,8037","0,7897","60,63M","-0,45%"
"03.05.2023","0,7999","0,8146","0,8146","0,7945","117,94M","-1,80%"
"02.05.2023","0,8146","0,8275","0,8325","0,8143","72,12M","-1,55%"
"28.04.2023","0,8274","0,8349","0,8350","0,8257","66,92M","-0,42%"
"27.04.2023","0,8309","0,8335","0,8346","0,8236","67,99M","-0,31%"
"26.04.2023","0,8335","0,8305","0,8405","0,8280","116,34M","0,37%"
"25.04.2023","0,8304","0,8305","0,8400","0,8250","103,61M","0,12%"
"24.04.2023","0,8294","0,8229","0,8366","0,8205","108,97M","0,35%"
"21.04.2023","0,8265","0,8229","0,8310","0,8203","65,67M","0,44%"
"20.04.2023","0,8229","0,8238","0,8297","0,8092","161,43M","-0,11%"
"19.04.2023","0,8238","0,8410","0,8429","0,8148","168,80M","-1,95%"
"18.04.2023","0,8402","0,8373","0,8444","0,8325","70,95M","0,41%"
"17.04.2023","0,8368","0,8338","0,8420","0,8328","60,93M","0,94%"
"14.04.2023","0,8290","0,8313","0,8328","0,8265","39,71M","0,02%"
"13.04.2023","0,8288","0,8338","0,8338","0,8262","36,81M","-0,56%"
"12.04.2023","0,8335","0,8336","0,8336","0,8240","40,92M","0,79%"
"11.04.2023","0,8270","0,8413","0,8430","0,8250","142,26M","-1,68%"
"10.04.2023","0,8411","0,8390","0,8550","0,8283","190,75M","0,13%"
"07.04.2023","0,8400","0,8497","0,8520","0,8380","100,33M","-0,83%"
"06.04.2023","0,8470","0,8564","0,8600","0,8377","182,51M","-1,10%"
"05.04.2023","0,8564","0,8284","0,8966","0,8213","1,55B","3,40%"
"04.04.2023","0,8282","0,8426","0,8476","0,8282","142,10M","-1,37%"
"03.04.2023","0,8397","0,8244","0,8442","0,8235","176,59M","2,28%"
"31.03.2023","0,8210","0,8232","0,8247","0,8150","59,95M","-0,26%"
"30.03.2023","0,8231","0,8163","0,8260","0,8101","66,27M","0,83%"
"29.03.2023","0,8163","0,8120","0,8344","0,8066","221,44M","0,64%"
"28.03.2023","0,8111","0,8228","0,8245","0,8051","91,83M","-0,81%"
"27.03.2023","0,8177","0,7951","0,8357","0,7930","597,50M","2,98%"
"24.03.2023","0,7940","0,7900","0,8000","0,7892","82,84M","0,47%"
"23.03.2023","0,7903","0,7862","0,7915","0,7842","89,69M","0,34%"
"22.03.2023","0,7876","0,7854","0,7896","0,7853","77,24M","0,28%"
"21.03.2023","0,7854","0,7871","0,7871","0,7840","59,14M","-0,13%"
"20.03.2023","0,7864","0,7780","0,7884","0,7704","82,21M","1,30%"
"17.03.2023","0,7763","0,7765","0,7850","0,7742","65,32M","-0,03%"
"16.03.2023","0,7765","0,7748","0,7780","0,7665","87,80M","0,14%"
"15.03.2023","0,7754","0,7783","0,7784","0,7710","55,71M","-0,37%"
"14.03.2023","0,7783","0,7784","0,7803","0,7750","33,93M","-0,21%"
"13.03.2023","0,7799","0,7809","0,7889","0,7755","51,44M","-0,13%"
"10.03.2023","0,7809","0,7819","0,7842","0,7719","51,43M","-0,13%"
"09.03.2023","0,7819","0,7879","0,7892","0,7796","49,98M","-0,76%"
"07.03.2023","0,7879","0,7903","0,7903","0,7861","34,87M","-0,08%"
"06.03.2023","0,7885","0,7915","0,7940","0,7872","55,09M","-0,32%"
"03.03.2023","0,7910","0,7897","0,7940","0,7820","114,45M","0,37%"
"02.03.2023","0,7881","0,7877","0,7925","0,7861","52,84M","-0,13%"
"01.03.2023","0,7891","0,7866","0,7925","0,7866","39,57M","0,31%"
"28.02.2023","0,7867","0,7915","0,7917","0,7806","64,90M","-0,39%"
"27.02.2023","0,7898","0,7912","0,7972","0,7875","67,36M","-0,11%"
"24.02.2023","0,7907","0,7936","0,7966","0,7880","25,42M","-0,37%"
"22.02.2023","0,7936","0,7886","0,7948","0,7830","37,60M","0,57%"
"21.02.2023","0,7891","0,7860","0,8032","0,7860","104,72M","0,38%"
"20.02.2023","0,7861","0,7865","0,7905","0,7800","80,26M","0,33%"
"17.02.2023","0,7835","0,7736","0,7843","0,7650","185,75M","0,95%"
"16.02.2023","0,7761","0,7631","0,7824","0,7631","82,79M","1,61%"
"15.02.2023","0,7638","0,7804","0,7866","0,7540","161,27M","-2,23%"
"14.02.2023","0,7812","0,7967","0,7967","0,7784","93,37M","-1,64%"
"13.02.2023","0,7942","0,7919","0,7970","0,7864","59,98M","1,02%"
"10.02.2023","0,7862","0,7919","0,7927","0,7854","59,05M","-0,61%"
"09.02.2023","0,7910","0,7873","0,7921","0,7840","38,41M","0,47%"
"08.02.2023","0,7873","0,7859","0,7933","0,7830","81,60M","0,20%"
"07.02.2023","0,7857","0,7880","0,7897","0,7834","30,92M","-0,11%"
"06.02.2023","0,7866","0,7814","0,7900","0,7763","75,01M","0,65%"
"03.02.2023","0,7815","0,7751","0,7835","0,7751","63,52M","0,40%"
"02.02.2023","0,7784","0,7826","0,7845","0,7741","82,48M","-0,43%"
"01.02.2023","0,7818","0,7805","0,7856","0,7804","45,65M","-0,26%"
"31.01.2023","0,7838","0,7884","0,7884","0,7810","63,93M","-0,15%"
"30.01.2023","0,7850","0,7818","0,7920","0,7790","181,28M","0,90%"
"27.01.2023","0,7780","0,7615","0,7849","0,7518","156,59M","2,30%"
"26.01.2023","0,7605","0,7630","0,7640","0,7560","33,48M","-0,24%"
"25.01.2023","0,7623","0,7621","0,7640","0,7580","32,01M","0,03%"
"24.01.2023","0,7621","0,7691","0,7702","0,7590","82,89M","-0,59%"
"23.01.2023","0,7666","0,7561","0,7691","0,7561","42,49M","1,13%"
"20.01.2023","0,7580","0,7530","0,7620","0,7530","34,84M","0,49%"
"19.01.2023","0,7543","0,7650","0,7650","0,7526","49,77M","-0,97%"
"18.01.2023","0,7617","0,7590","0,7691","0,7546","48,97M","0,22%"
"17.01.2023","0,7600","0,7678","0,7732","0,7582","74,16M","-1,02%"
"16.01.2023","0,7678","0,7620","0,7693","0,7590","75,87M","0,84%"
"13.01.2023","0,7614","0,7644","0,7644","0,7523","50,82M","0,07%"
"12.01.2023","0,7609","0,7684","0,7697","0,7600","42,93M","-1,10%"
"11.01.2023","0,7694","0,7602","0,7710","0,7570","83,14M","1,28%"
"10.01.2023","0,7597","0,7665","0,7665","0,7490","91,26M","-0,46%"
"09.01.2023","0,7632","0,7608","0,7647","0,7555","44,31M","0,32%"
"06.01.2023","0,7608","0,7586","0,7691","0,7561","51,63M","-0,31%"
"05.01.2023","0,7632","0,7610","0,7672","0,7575","19,16M","-0,12%"
"04.01.2023","0,7641","0,7740","0,7740","0,7613","26,01M","-0,87%"
"03.01.2023","0,7708","0,7620","0,7742","0,7603","43,19M","1,09%"
"30.12.2022","0,7625","0,7614","0,7637","0,7535","41,60M","0,62%"
"29.12.2022","0,7578","0,7595","0,7620","0,7550","34,64M","-0,38%"
"28.12.2022","0,7607","0,7551","0,7673","0,7478","103,33M","0,77%"
"27.12.2022","0,7549","0,7450","0,7564","0,7390","80,87M","1,30%"
"26.12.2022","0,7452","0,7328","0,7470","0,7328","41,29M","1,68%"
"23.12.2022","0,7329","0,7410","0,7439","0,7050","106,14M","-1,40%"
"22.12.2022","0,7433","0,7507","0,7544","0,7402","48,14M","-0,80%"
"21.12.2022","0,7493","0,7440","0,7607","0,7415","101,35M","0,97%"
"20.12.2022","0,7421","0,7211","0,7499","0,7211","94,51M","2,47%"
"19.12.2022","0,7242","0,7232","0,7343","0,7210","82,57M","-0,08%"
"16.12.2022","0,7248","0,7097","0,7353","0,7066","147,28M","2,13%"
"15.12.2022","0,7097","0,7319","0,7332","0,7031","244,83M","-3,22%"
"14.12.2022","0,7333","0,7474","0,7474","0,7182","141,38M","-1,89%"
"13.12.2022","0,7474","0,7499","0,7555","0,7430","54,08M","-0,31%"
"12.12.2022","0,7497","0,7409","0,7521","0,7370","72,14M","1,83%"
"09.12.2022","0,7362","0,7340","0,7434","0,7332","48,47M","0,46%"
"08.12.2022","0,7328","0,7400","0,7459","0,7310","63,79M","-0,64%"
"07.12.2022","0,7375","0,7373","0,7429","0,7306","58,01M","-0,30%"
"06.12.2022","0,7397","0,7476","0,7516","0,7374","66,41M","-1,03%"
"05.12.2022","0,7474","0,7401","0,7530","0,7355","91,03M","0,67%"
"02.12.2022","0,7424","0,7501","0,7536","0,7414","80,64M","-1,25%"
"01.12.2022","0,7518","0,7559","0,7575","0,7510","43,78M","-0,42%"
"30.11.2022","0,7550","0,7590","0,7594","0,7500","73,84M","-0,61%"
"29.11.2022","0,7596","0,7650","0,7709","0,7563","62,72M","-0,84%"
"28.11.2022","0,7660","0,7615","0,7788","0,7572","243,92M","0,33%"
"25.11.2022","0,7635","0,7620","0,7640","0,7540","38,88M","0,32%"
"24.11.2022","0,7611","0,7650","0,7650","0,7600","27,91M","-0,08%"
"23.11.2022","0,7617","0,7557","0,7647","0,7500","55,81M","0,87%"
"22.11.2022","0,7551","0,7550","0,7600","0,7513","43,94M","-0,04%"
"21.11.2022","0,7554","0,7699","0,7699","0,7500","65,65M","-1,19%"
"18.11.2022","0,7645","0,7580","0,7709","0,7573","55,48M","0,30%"
"17.11.2022","0,7622","0,7719","0,7720","0,7555","99,86M","-1,12%"
"16.11.2022","0,7708","0,7700","0,7778","0,7640","66,08M","0,44%"
"15.11.2022","0,7674","0,7853","0,7892","0,7601","124,81M","-2,24%"
"14.11.2022","0,7850","0,7923","0,7964","0,7800","91,86M","-1,03%"
"11.11.2022","0,7932","0,7966","0,8014","0,7900","80,27M","-0,43%"
"10.11.2022","0,7966","0,7870","0,8000","0,7870","80,43M","0,92%"
"09.11.2022","0,7893","0,7976","0,8010","0,7833","99,30M","-0,97%"
"08.11.2022","0,7970","0,8001","0,8049","0,7920","95,85M","-0,34%"
"07.11.2022","0,7997","0,7996","0,8040","0,7952","132,10M","1,06%"
"03.11.2022","0,7913","0,7760","0,7964","0,7703","157,85M","1,24%"
"02.11.2022","0,7816","0,7726","0,7861","0,7714","127,87M","1,06%"
"01.11.2022","0,7734","0,7800","0,7810","0,7710","59,29M","0,01%"
"31.10.2022","0,7733","0,7701","0,7836","0,7667","130,98M","0,42%"
"28.10.2022","0,7701","0,7796","0,7796","0,7557","201,66M","-1,22%"
"27.10.2022","0,7796","0,7834","0,7880","0,7752","219,34M","-0,05%"
"26.10.2022","0,7800","0,7819","0,7900","0,7704","233,38M","0,55%"
"25.10.2022","0,7757","0,7523","0,7854","0,7505","289,93M","3,36%"
"24.10.2022","0,7505","0,7418","0,7556","0,7403","184,16M","1,13%"
"21.10.2022","0,7421","0,7365","0,7473","0,7270","197,30M","0,80%"
"20.10.2022","0,7362","0,7200","0,7610","0,7180","466,64M","2,63%"
"19.10.2022","0,7173","0,7085","0,7173","0,7000","180,58M","1,24%"
"18.10.2022","0,7085","0,7148","0,7194","0,6955","172,75M","-0,73%"
"17.10.2022","0,7137","0,6901","0,7180","0,6890","148,95M","3,99%"
"14.10.2022","0,6863","0,6853","0,6916","0,6753","119,25M","0,16%"
"13.10.2022","0,6852","0,6875","0,6978","0,6830","146,80M","-0,78%"
"12.10.2022","0,6906","0,7050","0,7083","0,6822","153,07M","-1,50%"
"11.10.2022","0,7011","0,6842","0,7174","0,6809","424,31M","3,04%"
"10.10.2022","0,6804","0,6231","0,6825","0,6231","288,22M","6,93%"
"07.10.2022","0,6363","0,6561","0,6582","0,6350","127,29M","-2,72%"
"06.10.2022","0,6541","0,6614","0,6620","0,6506","157,62M","-1,09%"
"05.10.2022","0,6613","0,6690","0,6737","0,6480","251,47M","-1,27%"
"04.10.2022","0,6698","0,6856","0,6900","0,6661","188,14M","-2,23%"
"03.10.2022","0,6851","0,6861","0,6920","0,6700","532,94M","-0,80%"
"30.09.2022","0,6906","0,6892","0,7020","0,6609","466,44M","0,73%"
"29.09.2022","0,6856","0,6940","0,6989","0,6730","467,78M","-0,17%"
"28.09.2022","0,6868","0,6844","0,7115","0,6811","433,89M","-1,15%"
"27.09.2022","0,6948","0,6850","0,7038","0,6733","332,78M","3,09%"
"26.09.2022","0,6740","0,7073","0,7149","0,6460","498,12M","-6,43%"
"23.09.2022","0,7203","0,7475","0,7494","0,7005","274,65M","-3,34%"
"22.09.2022","0,7452","0,7452","0,7652","0,7301","416,60M","0,03%"
"21.09.2022","0,7450","0,7447","0,7830","0,7232","297,76M","-2,41%"
"20.09.2022","0,7634","0,7920","0,7920","0,7442","208,51M","-3,29%"
"19.09.2022","0,7894","0,7977","0,8040","0,7850","57,16M","-1,20%"
"16.09.2022","0,7990","0,8012","0,8051","0,7952","45,27M","-0,50%"
"15.09.2022","0,8030","0,8015","0,8120","0,7990","100,08M","0,26%"
"14.09.2022","0,8009","0,7937","0,8050","0,7913","112,83M","0,81%"
"13.09.2022","0,7945","0,7901","0,8000","0,7870","108,03M","0,72%"
"12.09.2022","0,7888","0,7905","0,7916","0,7850","99,20M","0,25%"
"09.09.2022","0,7868","0,7939","0,7940","0,7810","149,32M","-0,41%"
"08.09.2022","0,7900","0,8017","0,8017","0,7892","144,60M","-1,29%"
"07.09.2022","0,8003","0,8027","0,8046","0,7990","95,72M","-0,34%"
"06.09.2022","0,8030","0,8055","0,8149","0,8000","144,20M","-0,07%"
"05.09.2022","0,8036","0,7980","0,8100","0,7901","115,83M","0,09%"
"02.09.2022","0,8029","0,8000","0,8050","0,7992","52,49M","0,36%"
"01.09.2022","0,8000","0,8004","0,8037","0,7863","123,19M","-0,05%"
"31.08.2022","0,8004","0,8050","0,8150","0,8000","116,48M","0,05%"
"30.08.2022","0,8000","0,8010","0,8098","0,7995","102,87M","-0,31%"
"29.08.2022","0,8025","0,8198","0,8275","0,7995","229,36M","-1,76%"
"26.08.2022","0,8169","0,8120","0,8188","0,8114","69,01M","0,70%"
"25.08.2022","0,8112","0,8011","0,8131","0,8000","89,87M","1,40%"
"24.08.2022","0,8000","0,8108","0,8199","0,8000","116,25M","-1,33%"
"23.08.2022","0,8108","0,8000","0,8200","0,7980","193,24M","1,35%"
"22.08.2022","0,8000","0,7960","0,8053","0,7943","113,95M","0,21%"
"19.08.2022","0,7983","0,7944","0,7985","0,7871","70,61M","0,39%"
"18.08.2022","0,7952","0,8080","0,8099","0,7931","71,93M","-1,58%"
"17.08.2022","0,8080","0,7947","0,8095","0,7920","133,91M","1,67%"
"16.08.2022","0,7947","0,7857","0,8031","0,7847","103,52M","1,29%"
